Epoch,Generator Loss,Critic Loss,FID Score
10,25.333573519421357,-5.711030423488763,0.24473892152309418
20,-6.167527718922061,-4.461913849691601,0.2564253807067871
30,-29.349021243317353,-3.749068719956576,0.12201038748025894
40,-27.842092060372043,-3.2543852121933647,0.22575561702251434
50,-31.870460329763116,-2.9740470147803615,0.12488103657960892
60,-28.385132914004117,-2.6690249482689,0.1035786047577858
70,-24.731314871317284,-2.5155023083357553,0.41668403148651123
80,-26.48925772469367,-2.3442121606958493,0.14396381378173828
90,-30.621314904878815,-2.204897099138831,0.2650927007198334
100,-23.955733496819615,-2.059295520453197,0.1689656674861908
110,-22.180898890775794,-2.0085847013441804,0.2740958333015442
120,-20.655210302309,-1.928040773972221,0.16839447617530823
130,-21.4079440255909,-1.8848219050470825,0.10582941770553589
140,-19.485173186377796,-1.8577254339099845,0.2986143231391907
150,-19.57309913635254,-1.8284385309499853,0.2216297686100006
160,-21.193789923587417,-1.7543223526166833,0.12222424894571304
170,-22.301820725736107,-1.726888160495197,0.1857045590877533
180,-24.393601259002295,-1.6770860411017143,0.34981444478034973
190,-25.784960344319455,-1.6686150577976882,0.22366906702518463
200,-26.142430190844912,-1.6575612747455801,0.1869603395462036
210,-28.378667446048667,-1.6048851772342496,0.31932735443115234
220,-29.69196378605445,-1.6094790844966078,0.2087472528219223
230,-31.139453570861036,-1.6207941684424114,0.168976828455925
240,-34.45001347534492,-1.5958528623861425,0.2352447509765625
250,-33.11423721703727,-1.584716989561115,0.2566238045692444
260,-35.37982950430087,-1.5855841531473047,0.12178623676300049
270,-34.37102686108835,-1.5525721431998036,0.11785071343183517
280,-35.53548815305275,-1.545214622374386,0.25951582193374634
290,-34.161511950480666,-1.534816299786653,0.19684797525405884
300,-36.48727817974432,-1.5185825253843956,0.16808514297008514
310,-35.455719374634725,-1.5193598392369496,0.16064906120300293
320,-38.38971884842114,-1.5235935403867755,0.17351363599300385
330,-37.07355002673995,-1.570428012048497,0.3797451853752136
340,-37.07548754172557,-1.5264873304178037,0.13627830147743225
350,-38.02005937581172,-1.5259148505947473,0.1260034143924713
360,-39.48545341784387,-1.5432766515885472,0.30277860164642334
370,-42.04990610381221,-1.5494214395427948,0.23877541720867157
380,-45.2899435194557,-1.5479911215165083,0.14081721007823944
390,-43.37281612971859,-1.562309759504655,0.3038256764411926
400,-42.43257716732562,-1.5033763798758806,0.0950993075966835
410,-43.356060925652,-1.5200843520634009,0.26006391644477844
420,-44.94779110686554,-1.5450996062944613,0.08718825876712799
430,-45.67882167103955,-1.576404111464615,0.21867842972278595
440,-48.451400220241695,-1.5482331038740895,0.5791642665863037
450,-51.09553890764866,-1.5549999451850687,0.10418400168418884
460,-53.07778108211429,-1.5688533209016562,0.42622730135917664
470,-56.3712001420043,-1.5483180281451292,0.3139536380767822
480,-58.821886906538474,-1.5428415730481257,0.3327059745788574
490,-60.49325338105107,-1.5710749357100338,0.22666911780834198
500,-60.55562175936101,-1.579744962475184,0.20145095884799957
